group_id,creator_id,title,description,event_datetime
1,1,Weekly Team Sync,Regular team meeting to discuss ongoing projects and updates,2024-02-01 10:00:00
1,5,Project Launch Party,Celebrating the successful completion of our latest project,2024-02-15 18:30:00
2,2,Tech Workshop: Go Basics,Introduction to Go programming language for beginners,2024-02-05 14:00:00
2,9,Code Review Session,Group code review and best practices discussion,2024-02-20 15:00:00
3,3,Book Club Meeting,Discussion of 'The Midnight Library' by Matt Haig,2024-02-03 19:00:00
3,15,Author Meet & Greet,Special guest author session and Q&A,2024-02-18 17:00:00
4,4,Photography Walk,Urban photography session in downtown area,2024-02-10 09:00:00
4,20,Portrait Photography Workshop,Learn essential portrait photography techniques,2024-02-25 13:00:00
5,5,Group Fitness Challenge,Monthly fitness challenge kickoff meeting,2024-02-02 08:00:00
5,25,Yoga in the Park,Morning yoga session for all skill levels,2024-02-17 07:30:00
6,6,Art Exhibition Opening,Showcase of members' latest artworks,2024-02-08 18:00:00
6,30,Life Drawing Session,Professional model and artistic guidance provided,2024-02-23 16:00:00
7,7,Travel Meetup: Europe Edition,Planning session for upcoming European adventures,2024-02-07 19:30:00
7,34,Photography Tips for Travelers,Learn to capture better travel moments,2024-02-22 18:00:00
8,8,Music Jam Session,Bring your instruments for a collaborative session,2024-02-09 20:00:00
8,40,Concert Planning Meeting,Organizing our upcoming live performance,2024-02-24 17:30:00