group_id,user_id,role,invited_by
1,1,admin,
1,2,member,1
1,3,member,1
1,4,member,1
1,5,admin,1
1,22,member,1
1,48,member,1
2,2,admin,
2,6,member,2
2,7,member,2
2,8,member,2
2,9,admin,2
2,10,member,2
2,21,member,2
2,39,member,2
2,5,member,2
2,26,member,2
2,36,member,2
2,1,member,2
2,22,member,2
2,35,member,2
3,3,admin,
3,11,member,3
3,12,member,3
3,13,member,3
3,14,member,3
3,15,admin,3
3,33,member,3
3,27,member,3
3,41,member,3
4,4,admin,
4,16,member,4
4,17,member,4
4,18,member,4
4,19,member,4
4,20,admin,4
4,38,member,4
4,28,member,4
5,5,admin,
5,21,member,5
5,22,member,5
5,23,member,5
5,24,member,5
5,25,admin,5
5,30,member,5
5,32,member,5
5,9,member,5
6,6,admin,
6,26,member,6
6,27,member,6
6,28,member,6
6,29,member,6
6,30,member,6
6,12,member,6
6,41,member,6
6,25,member,6
7,7,admin,
7,31,member,7
7,32,member,7
7,33,member,7
7,34,admin,7
7,35,member,7
7,28,member,7
8,8,admin,
8,36,member,8
8,37,member,8
8,38,member,8
8,39,member,8
8,40,admin,8
8,11,member,8
8,23,member,8
8,4,member,8
8,25,member,8
8,7,member,8
8,21,member,8
8,48,member,8
9,9,admin,
9,41,member,9
9,42,member,9
9,43,member,9
9,44,member,9
9,45,admin,9
9,48,member,9
9,19,member,9
9,36,member,9
9,50,member,9
10,10,admin,
10,46,member,10
10,47,member,10
10,48,member,10
10,49,member,10
10,1,member,10
10,21,member,10
10,45,member,10
10,13,member,10